"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0032881","regulation of polysaccharide metabolic process",28,-0.620193860714704,-2.02392436383345,0.000240994253102738,0.012892413562139,0.0116535964212092,1692,"tags=43%, list=17%, signal=36%","19219/15289/11651/11652/20411/244416/16337/228966/18033/12491/21803/16548"
"GO:0071706","tumor necrosis factor superfamily cytokine production",155,0.385847023989442,1.66367335020006,0.00024444331524545,0.012892413562139,0.0116535964212092,1651,"tags=30%, list=17%, signal=25%","93695/14129/20296/142980/73181/217203/12774/66824/26362/73149/27218/23960/269799/246730/12257/474145/16193/16153/81897/20128/16859/17002/114643/20927/71586/246728/16160/230073/19260/106759/16534/246727/17319/107607/16173/224647/11487/56632/13058/60533/74131/11433/13057/15170/16956/56501"
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",155,0.385847023989442,1.66367335020006,0.00024444331524545,0.012892413562139,0.0116535964212092,1651,"tags=30%, list=17%, signal=25%","93695/14129/20296/142980/73181/217203/12774/66824/26362/73149/27218/23960/269799/246730/12257/474145/16193/16153/81897/20128/16859/17002/114643/20927/71586/246728/16160/230073/19260/106759/16534/246727/17319/107607/16173/224647/11487/56632/13058/60533/74131/11433/13057/15170/16956/56501"
"GO:0060761","negative regulation of response to cytokine stimulus",61,0.508433338190265,1.88078074776972,0.000258583119660796,0.0131723361997499,0.0119066216156117,1107,"tags=36%, list=11%, signal=32%","11846/20304/23960/24110/246730/11746/100038882/23939/434341/16193/56045/20847/73945/114643/56417/17951/30940/13601/17952/213541/547253/246727"
"GO:0051928","positive regulation of calcium ion transport",52,0.528015178441858,1.87489080333397,0.000260691391754226,0.0131723361997499,0.0119066216156117,855,"tags=29%, list=9%, signal=27%","20296/18439/20304/18787/238161/12018/12257/15114/15945/17329/16854/12028/12289/18438/65973"
"GO:0032481","positive regulation of type I interferon production",87,0.457218189172843,1.80558866829142,0.000257350229172391,0.0131723361997499,0.0119066216156117,1107,"tags=28%, list=11%, signal=25%","17472/142980/20612/23960/54123/246730/100038882/327959/170743/80861/81897/72935/71956/114643/56489/71609/71586/246728/230073/19260/106759/384309/72512/246727"
"GO:0071887","leukocyte apoptotic process",100,0.439867570971315,1.77512933569846,0.00026854915799694,0.0131723361997499,0.0119066216156117,1226,"tags=28%, list=12%, signal=25%","18439/20304/12369/20612/12774/26362/12018/18950/16197/17289/14605/16184/30954/20723/16193/16153/16854/12370/12028/20440/12371/57741/209488/76089/17319/16173/101540/56532"
"GO:0002367","cytokine production involved in immune response",89,0.447061287881945,1.76373917327927,0.000265930459078239,0.0131723361997499,0.0119066216156117,1422,"tags=34%, list=14%, signal=29%","11846/142980/18439/69550/215900/66824/26362/27218/58185/327957/170743/12362/12010/16193/16153/81897/94088/15368/15216/230073/106759/230979/22030/17319/107607/16173/56632/74131/15977/11433"
"GO:0002718","regulation of cytokine production involved in immune response",89,0.447061287881945,1.76373917327927,0.000265930459078239,0.0131723361997499,0.0119066216156117,1422,"tags=34%, list=14%, signal=29%","11846/142980/18439/69550/215900/66824/26362/27218/58185/327957/170743/12362/12010/16193/16153/81897/94088/15368/15216/230073/106759/230979/22030/17319/107607/16173/56632/74131/15977/11433"
"GO:0001818","negative regulation of cytokine production",219,0.357596870966097,1.60173017721033,0.000261723281203002,0.0131723361997499,0.0119066216156117,1556,"tags=26%, list=16%, signal=22%","11846/20306/93695/17472/69550/20612/13388/66824/64685/26362/73149/27218/23960/269799/246730/12257/11746/80385/474145/15944/327959/16145/18854/17289/80861/16193/16153/20128/16859/17002/114643/15368/209590/229900/17470/15216/16160/19260/54396/114128/246727/224647/68038/22350/57781/66889/52513/60533/56438/15977/11433/14466/338467/23825/15170/213208"
"GO:0051701","biological process involved in interaction with host",103,0.434685280812882,1.75812563208637,0.000301929730585728,0.0146630230546831,0.0132540700909545,1423,"tags=29%, list=14%, signal=25%","100702/434219/71223/20612/55932/26362/14469/27218/236573/12642/71740/15587/13030/18145/68953/30954/20128/67028/229898/17002/17951/209387/229900/244183/230979/17254/76959/67778/75608/66848"
"GO:0034138","toll-like receptor 3 signaling pathway",26,0.639476762696939,1.9468337223538,0.000305272060085108,0.0146799946540927,0.0132694109089626,1042,"tags=38%, list=10%, signal=35%","142980/23960/246730/327957/54445/16363/114643/67245/19260/106759"
"GO:0001913","T cell mediated cytotoxicity",42,0.561795760632765,1.87477056308092,0.000313116699863164,0.0149110428429983,0.0134782579440332,1352,"tags=50%, list=14%, signal=43%","18439/246256/21355/18950/16197/15042/20723/14991/12010/15040/15039/12479/110557/22122/16160/77777/56532/55960/13032/14972/15015"
"GO:0035725","sodium ion transmembrane transport",53,-0.50953317484835,-1.89574146232188,0.000317830140263383,0.0149739636802088,0.0135351327906088,1298,"tags=38%, list=13%, signal=33%","77031/56398/94249/83997/53881/232341/20276/72821/20538/71699/20266/83814/105727/252972/236794/28240/20496/98396/232975/331004"
"GO:0014855","striated muscle cell proliferation",50,-0.507421478646149,-1.86278088973728,0.00032054356501976,0.0149739636802088,0.0135351327906088,2585,"tags=46%, list=26%, signal=34%","108655/18712/16646/12166/19664/16653/11350/14159/232334/19084/19211/16452/17260/21813/21814/19015/17967/15234/67367/74777/66934/26416/21385"
"GO:0050995","negative regulation of lipid catabolic process",12,-0.774455907149999,-1.94375091341189,0.000343659855951235,0.0159023735230265,0.0143743328030447,1616,"tags=67%, list=16%, signal=56%","11651/76574/16176/20660/30955/14756/18576/70461"
"GO:0044782","cilium organization",222,-0.33970637354595,-1.58258237450598,0.000357608258899601,0.0162413750916902,0.0146807601021942,2879,"tags=41%, list=29%, signal=30%","231672/215445/16776/66717/320244/14745/211535/74256/380654/243371/68259/64436/70314/229776/22284/72982/74117/18764/232906/68121/232089/18536/68001/70235/26941/16328/320299/108686/67661/71276/101565/77505/13430/382406/140810/18541/218630/76967/11651/18003/210544/231050/57438/225523/54633/15194/73916/97064/214552/67841/73692/66264/67884/68146/654470/67161/52906/230872/668310/227753/53860/330188/637079/65970/75216/226251/68339/106633/20873/19335/19725/66994/77048/101100/241112/319565/67590/232987/319845/22092/15185/107934/214459/234776/100048534/233899/69926/13196/71972/67378/99167"
"GO:0120031","plasma membrane bounded cell projection assembly",344,-0.301635523879099,-1.47500405241657,0.000354616575708766,0.0162413750916902,0.0146807601021942,2359,"tags=32%, list=24%, signal=25%","13609/68121/232089/18536/56753/18708/68001/70235/26941/16328/320299/108686/22330/67661/30938/108911/71276/101565/77505/11350/13430/382406/12389/12345/140810/68732/72722/18541/107589/218630/67425/76967/11651/14158/50884/210544/234695/12775/231050/22325/57438/225523/56699/11826/54633/193385/15194/83431/73916/97064/214552/67841/73692/66264/67884/260409/68146/654470/67384/67161/16403/52906/230872/20807/219140/56320/12224/668310/227753/53860/330188/637079/57257/65970/20401/75216/226251/106633/20873/19335/19725/66994/77048/101100/70415/319565/67590/11977/232987/319845/22092/107934/28240/208727/214459/26382/234776/100048534/192786/233899/18483/56792/69926/13196/71972/67378/99167/228852/226970"
"GO:0044790","suppression of viral release by host",19,0.686183890938787,1.948101301352,0.000399063388150669,0.0176167540940341,0.0159239805234341,2052,"tags=63%, list=21%, signal=50%","434219/20821/18854/21849/20128/209387/384309/22670/319236/93679/66700/667823"
"GO:0002715","regulation of natural killer cell mediated immunity",34,0.590894482333789,1.90362108304586,0.00039272041065346,0.0176167540940341,0.0159239805234341,1017,"tags=41%, list=10%, signal=37%","215900/21355/27007/71740/54698/16783/20723/30925/14991/12122/16859/21354/16160/77777"
"GO:0032640","tumor necrosis factor production",153,0.386168976450169,1.66471485698664,0.000402258197458068,0.0176167540940341,0.0159239805234341,1651,"tags=29%, list=17%, signal=25%","93695/14129/20296/142980/73181/217203/12774/66824/26362/73149/27218/23960/269799/246730/12257/474145/16193/16153/81897/20128/16859/17002/114643/20927/71586/246728/16160/230073/19260/106759/16534/246727/17319/107607/16173/224647/11487/56632/13058/74131/11433/13057/15170/16956/56501"
"GO:0032680","regulation of tumor necrosis factor production",153,0.386168976450169,1.66471485698664,0.000402258197458068,0.0176167540940341,0.0159239805234341,1651,"tags=29%, list=17%, signal=25%","93695/14129/20296/142980/73181/217203/12774/66824/26362/73149/27218/23960/269799/246730/12257/474145/16193/16153/81897/20128/16859/17002/114643/20927/71586/246728/16160/230073/19260/106759/16534/246727/17319/107607/16173/224647/11487/56632/13058/74131/11433/13057/15170/16956/56501"
